12;27;30;0,0002;0,0003;0,0002;0,0001;
13;24;27;0,0002;0,0004;0,0002;0,0001;
14;21;24;0,0002;0,0004;0,0002;0,0002;
15;18;21;0,0002;0,0004;0,0002;0,0002;
16;15;18;0,0002;0,0003;0,0002;0,0001;
17;12;15;0,0002;0,0003;0,0002;0,0001;
18;9;12;0,0002;0,0004;0,0003;0,0002;
1;60;63;0,0002;0,0002;0,0001;0,0002;
2;57;60;0,0002;0,0002;0,0002;0,0002;
3;54;57;0,0002;0,0003;0,0001;0,0002;
4;51;54;0,0002;0,0003;0,0002;0,0002;
5;48;51;0,0002;0,0003;0,0002;0,0001;
6;45;48;0,0002;0,0003;0,0002;0,0002;
7;42;45;0,0001;0,0003;0,0002;0,0002;
8;39;42;0,0002;0,0003;0,0002;0,0001;
9;36;39;0,0002;0,0003;0,0002;0,0002;
10;33;36;0,0002;0,0003;0,0002;0,0002;
11;30;33;0,0002;0,0004;0,0003;0,0002;
12;27;30;0,0002;0,0003;0,0003;0,0002;
13;24;27;0,0002;0,0004;0,0002;0,0002;
14;21;24;0,0002;0,0004;0,0002;0,0002;
15;18;21;0,0002;0,0004;0,0002;0,0002;
16;15;18;0,0002;0,0003;0,0003;0,0002;
17;12;15;0,0002;0,0003;0,0003;0,0002;
18;9;12;0,0002;0,0038;0,0003;0,0001;
19;6;9;0,0002;0,0004;0,0002;0,0002;
1;60;63;0,0001;0,0001;0,0002;0,0002;
2;57;60;0,0002;0,0002;0,0001;0,0001;
3;54;57;0,0002;0,0002;0,0002;0,0002;
4;51;54;0,0002;0,0003;0,0001;0,0001;
5;48;51;0,0001;0,0002;0,0002;0,0002;
6;45;48;0,0002;0,0004;0,0002;0,0001;
7;42;45;0,0002;0,0004;0,0002;0,0002;
8;39;42;0,0002;0,0003;0,0001;0,0002;
9;36;39;0,0002;0,0003;0,0002;0,0001;
10;33;36;0,0002;0,0004;0,0002;0,0001;
11;30;33;0,0003;0,0004;0,0002;0,0001;
12;27;30;0,0002;0,0003;0,0002;0,0001;
13;24;27;0,0002;0,0004;0,0002;0,0002;
14;21;24;0,0002;0,0003;0,0002;0,0002;
15;18;21;0,0002;0,0003;0,0002;0,0002;
16;15;18;0,0002;0,0004;0,0003;0,0002;
17;12;15;0,0002;0,0003;0,0003;0,0002;
18;9;12;0,0002;0,0003;0,0003;0,0002;
19;6;9;0,0003;0,0004;0,0003;0,0001;
20;3;6;0,0002;0,0003;0,0003;0,0002;
